CustomerID,Recency,Frequency,Monetory,R,F,M,RFM,RFM_Score,Loyal_customer
2.0,4,181,550416.0,1,1,1,111,3,Platinum
3.0,77,27,257404.0,4,3,1,431,8,Gold
4.0,20,72,176613.0,3,2,2,322,7,Gold
5.0,18,16,41976.0,2,4,3,243,9,Silver
6.0,9,84,151822.0,1,2,2,122,5,Platinum
7.0,208,4,9410.0,4,4,4,444,12,Bronze
8.0,234,58,135550.0,4,2,2,422,8,Gold
9.0,15,13,65832.0,2,4,3,243,9,Silver
10.0,16,58,331601.0,2,2,1,221,5,Platinum
11.0,9,130,769339.0,1,1,1,111,3,Platinum
12.0,2,17,105674.0,1,4,2,142,7,Gold
13.0,14,253,703510.0,2,1,1,211,4,Platinum
14.0,53,126,281630.0,3,1,1,311,5,Platinum
15.0,170,9,21630.0,4,4,4,444,12,Bronze
16.0,4,263,576635.0,1,1,1,111,3,Platinum
17.0,16,23,78378.0,2,3,3,233,8,Gold
18.0,8,81,205212.0,1,2,2,122,5,Platinum
19.0,292,21,41055.0,4,3,3,433,10,Silver
20.0,6,10,23537.0,1,4,4,144,9,Silver
21.0,17,164,464114.0,2,1,1,211,4,Platinum
22.0,10,62,182448.0,1,2,2,122,5,Platinum
23.0,15,49,163883.0,2,2,2,222,6,Gold
24.0,48,13,42424.0,3,4,3,343,10,Silver
25.0,26,32,76012.0,3,3,3,333,9,Silver
26.0,4,16,47361.0,1,4,3,143,8,Gold
27.0,171,75,198638.0,4,2,2,422,8,Gold
28.0,12,212,504576.0,2,1,1,211,4,Platinum
29.0,74,39,93618.0,4,3,2,432,9,Silver
30.0,14,101,295952.0,2,2,1,221,5,Platinum
31.0,34,86,178765.0,3,2,2,322,7,Gold
32.0,14,93,231478.0,2,2,1,221,5,Platinum
33.0,9,28,45460.0,1,3,3,133,7,Gold
34.0,141,10,57670.0,4,4,3,443,11,Bronze
35.0,18,100,356353.0,2,2,1,221,5,Platinum
36.0,81,31,68598.0,4,3,3,433,10,Silver
37.0,22,100,60518.0,3,2,3,323,8,Gold
38.0,16,64,201327.0,2,2,2,222,6,Gold
39.0,15,25,148768.0,2,3,2,232,7,Gold
40.0,9,147,384183.0,1,1,1,111,3,Platinum
41.0,9,123,285459.0,1,1,1,111,3,Platinum
42.0,50,83,212852.0,3,2,1,321,6,Gold
43.0,15,55,158398.0,2,2,2,222,6,Gold
44.0,48,4,7278.0,3,4,4,344,11,Bronze
45.0,324,10,25584.0,4,4,4,444,12,Bronze
46.0,52,4,42252.0,3,4,3,343,10,Silver
47.0,149,53,178467.0,4,2,2,422,8,Gold
48.0,14,108,415792.0,2,1,1,211,4,Platinum
49.0,13,72,222570.0,2,2,1,221,5,Platinum
50.0,9,108,329075.0,1,1,1,111,3,Platinum
51.0,14,114,1383334.0,2,1,1,211,4,Platinum
52.0,18,27,59636.0,2,3,3,233,8,Gold
53.0,81,57,155834.0,4,2,2,422,8,Gold
54.0,10,37,80491.0,1,3,3,133,7,Gold
55.0,15,15,57781.0,2,4,3,243,9,Silver
56.0,10,755,14312274.0,1,1,1,111,3,Platinum
57.0,4,189,384550.0,1,1,1,111,3,Platinum
58.0,113,34,86360.0,4,3,2,432,9,Silver
59.0,10,29,80913.0,1,3,3,133,7,Gold
60.0,22,41,87913.0,3,3,2,332,8,Gold
61.0,11,38,91062.0,2,3,2,232,7,Gold
62.0,3,118,227879.0,1,1,1,111,3,Platinum
63.0,74,30,200188.0,4,3,2,432,9,Silver
64.0,81,35,96205.0,4,3,2,432,9,Silver
65.0,136,29,62672.0,4,3,3,433,10,Silver
66.0,10,31,95512.0,1,3,2,132,6,Gold
67.0,12,289,793774.0,2,1,1,211,4,Platinum
68.0,69,92,400340.0,3,2,1,321,6,Gold
69.0,50,10,27584.0,3,4,4,344,11,Bronze
70.0,9,237,782768.0,1,1,1,111,3,Platinum
71.0,50,107,526849.0,3,1,1,311,5,Platinum
72.0,1,418,1864111.0,1,1,1,111,3,Platinum
73.0,85,54,94388.0,4,2,2,422,8,Gold
74.0,81,36,896714.0,4,3,1,431,8,Gold
